date,curah_hujan,kecamatan
20220205,2.74,Lhoksukon
20220206,21.93,Lhoksukon
20220207,3.91,Lhoksukon
20220208,1.6,Lhoksukon
20220209,11.99,Lhoksukon
20220210,10.24,Lhoksukon
20220211,5.61,Lhoksukon
20220212,3.67,Lhoksukon
20220213,1.11,Lhoksukon
20220214,4.54,Lhoksukon
20220215,59.38,Lhoksukon
20220216,34.14,Lhoksukon
20220217,7.81,Lhoksukon
20220218,14.38,Lhoksukon
20220219,18.9,Lhoksukon
20220220,0.9,Lhoksukon
20220221,0.11,Lhoksukon
20220222,1.34,Lhoksukon
20220223,1.59,Lhoksukon
20220224,1.16,Lhoksukon
20220225,14.33,Lhoksukon
20220226,43.26,Lhoksukon
20220227,35.54,Lhoksukon
20220228,15.81,Lhoksukon
20220301,6.55,Lhoksukon
20220302,2.45,Lhoksukon
20220303,1.33,Lhoksukon
20220304,1.14,Lhoksukon
20220305,8.75,Lhoksukon
20220306,1.09,Lhoksukon
20220307,1.62,Lhoksukon
20220308,9.54,Lhoksukon
20220309,6.88,Lhoksukon
20220310,9.86,Lhoksukon
20220311,1.08,Lhoksukon
20220312,0.45,Lhoksukon
20220313,1.55,Lhoksukon
20220314,2.2,Lhoksukon
20220315,2.73,Lhoksukon
20220316,1.68,Lhoksukon
20220317,24.32,Lhoksukon
20220318,8.33,Lhoksukon
20220319,6.02,Lhoksukon
20220320,6.14,Lhoksukon
20220321,1.45,Lhoksukon
20220322,1.86,Lhoksukon
20220323,3.09,Lhoksukon
20220324,2.72,Lhoksukon
20220325,1.13,Lhoksukon
20220326,1.16,Lhoksukon
20220327,1.2,Lhoksukon
20220328,0.9,Lhoksukon
20220329,1.06,Lhoksukon
20220330,1.71,Lhoksukon
20220331,1.59,Lhoksukon
20220401,2.0,Lhoksukon
20220402,18.8,Lhoksukon
20220403,26.65,Lhoksukon
20220404,1.53,Lhoksukon
20220405,8.36,Lhoksukon
20220406,3.96,Lhoksukon
20220407,2.6,Lhoksukon
20220408,1.47,Lhoksukon
20220409,1.41,Lhoksukon
20220410,0.79,Lhoksukon
20220411,0.89,Lhoksukon
20220412,0.48,Lhoksukon
20220413,0.42,Lhoksukon
20220414,0.78,Lhoksukon
20220415,0.37,Lhoksukon
20220416,0.66,Lhoksukon
20220417,0.52,Lhoksukon
20220418,0.69,Lhoksukon
20220419,4.95,Lhoksukon
20220420,21.79,Lhoksukon
20220421,2.34,Lhoksukon
20220422,0.49,Lhoksukon
20220423,1.09,Lhoksukon
20220424,0.44,Lhoksukon
20220425,4.42,Lhoksukon
20220426,8.98,Lhoksukon
20220427,1.11,Lhoksukon
20220428,0.59,Lhoksukon
20220429,1.1,Lhoksukon
20220430,1.08,Lhoksukon
20220501,1.51,Lhoksukon
20220502,6.48,Lhoksukon
20220503,36.77,Lhoksukon
20220504,7.06,Lhoksukon
20220505,13.07,Lhoksukon
20220506,11.23,Lhoksukon
20220507,7.59,Lhoksukon
20220508,2.38,Lhoksukon
20220509,1.83,Lhoksukon
20220510,3.66,Lhoksukon
20220511,2.1,Lhoksukon
20220512,1.17,Lhoksukon
20220513,1.34,Lhoksukon
20220514,1.82,Lhoksukon
20220515,2.71,Lhoksukon
20220516,3.31,Lhoksukon
20220517,0.1,Lhoksukon
20220518,0.58,Lhoksukon
20220519,0.54,Lhoksukon
